0	1	2	3	4	5	6	7	8	9	10	11	density
EIF3C	NAT10	RPS6KB1	NCBP1	TCF25	PPP1R12B	NUP210	STK38	RFC3	PARN	GDPGP1	CARHSP1	7
EIF3C	NAT10	RPS6KB1	NCBP1	MC1R	SNRPE	IRAK2	STK38	RFC3	PARN	TTLL13	PAM16	7
EIF3C	NAT10	RPS6KB1	NCBP1	MC1R	LRRN2	IRAK2	STK38	RFC3	ARL6IP1	ARRDC4	PAM16	7
EIF3C	NAT10	POLG2	NCBP1	PRDM7	LRRN2	IRAK2	MAPK13	RFC3	RP11-1035H13.3	ZNF710	TRAP1	7
EIF3C	NAT10	RNFT1	TRIM14	C16orf3	DSTYK	IRAK2	CDKN1A	RFC3	PARN	GDPGP1	PAM16	8
EIF3C	NAT10	POLG2	NCBP1	PRDM7	LRRN2	IRAK2	MAPK13	SOHLH2	RP11-1035H13.3	ZNF710	PAM16	8
EIF3C	NAT10	POLG2	NCBP1	C16orf3	MDM4	RAF1	MAPK13	RFC3	PARN	KIF7	PAM16	8
EIF3C	NAT10	POLG2	NCBP1	PRDM7	PPP1R12B	IRAK2	CDKN1A	RFC3	PARN	AP3S2	TRAP1	8
EIF3C	EIF3M	POLG2	GABBR2	PRDM7	PPP1R12B	RPL32	STK38	RFC3	GP2	TTLL13	PAM16	8
EIF3C	NAT10	RPS6KB1	NCBP1	PRDM7	LRRN2	IRAK2	MAPK13	RFC3	ARL6IP1	NR2F2	PAM16	8
EIF3C	NAT10	RPS6KB1	NCBP1	MC1R	LRRN2	IRAK2	STK38	RFXAP	PARN	ZNF710	PAM16	8
EIF3C	SLC5A12	POLG2	NCBP1	TCF25	PPP1R12B	IRAK2	MAPK13	RFC3	ARL6IP1	ZNF710	PAM16	8
EIF3C	NAT10	RPS6KB1	NCBP1	PRDM7	LRRN2	IRAK2	STK38	RFC3	NDE1	ARRDC4	RP11-297M9.1	8
EIF3C	NAT10	POLG2	NCBP1	MC1R	SLC45A3	IRAK2	STK38	RFC3	PARN	ZNF710	PAM16	8
EIF3C	NAT10	MARCH10	NCBP1	PRDM7	LRRN2	IRAK2	STK38	RFC3	PARN	NR2F2	TRAP1	8
EIF3C	RP11-17A1.2	RPS6KB1	NCBP1	C16orf3	LRRN2	IRAK2	STK38	RFC3	PARN	ZNF710	PAM16	8
EIF3C	NAT10	RPS6KB1	NCBP1	GAS8	LRRN2	IRAK2	STK38	RFC3	PARN	ZNF710	PAM16	8
EIF3C	NAT10	RPS6KB1	NCBP1	C16orf3	LRRN2	IRAK2	MAPK13	RFC3	ARL6IP1	ZNF710	PAM16	8
EIF3C	NAT10	RPS6KB1	NCBP1	MC1R	LRRN2	NUP210	STK38	RFC3	PARN	MESP1	PAM16	8
EIF3C	NAT10	POLG2	NCBP1	PRDM7	KDM5B	IRAK2	STK38	RFC3	ARL6IP1	ZNF710	VASN	8
EIF3C	NAT10	POLG2	NCBP1	MC1R	LRRN2	IRAK2	STK38	RFC3	ARL6IP1	NR2F2	PAM16	8
EIF3C	NAT10	POLG2	NCBP1	PRDM7	PPP1R12B	IRAK2	STK38	RFC3	PARN	GDPGP1	PAM16	8
EIF3C	NAT10	POLG2	NCBP1	TCF25	LRRN2	IRAK2	STK38	RFC3	PARN	IQGAP1	PAM16	8
EIF3C	NAT10	POLG2	NCBP1	C16orf3	PPP1R12B	LSM3	STK38	RFC3	NOMO1	ZNF710	PAM16	8
EIF3C	NAT10	POLG2	NCBP1	TCF25	PPP1R12B	LSM3	MAPK13	RFC3	ARL6IP1	ZNF774	PAM16	8
EIF3C	NAT10	RPS6KB1	TGFBR1	MC1R	LRRN2	IRAK2	STK38	RFC3	ARL6IP1	NR2F2	ZNF500	8
APOBR	NAT10	RPS6KB1	NCBP1	PRDM7	LRRN2	NUP210	MAPK13	RFC3	AC092291.2	ZNF710	PAM16	8
EIF3C	NAT10	RPS6KB1	NCBP1	PRDM7	SLC45A3	LSM3	GLP1R	RFC3	ARL6IP1	TTLL13	PAM16	8
EIF3C	NAT10	RPS6KB1	NCBP1	SPIRE2	PRELP	NUP210	STK38	RFC3	PARN	ZNF710	TRAP1	8
EIF3C	NAT10	POLG2	NCBP1	SPIRE2	LRRN2	IRAK2	STK38	RFC3	PARN	NR2F2	PAM16	8
